strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,totalBuyQuantity,totalSellQuantity,buyPrice1,buyQuantity1,sellPrice1,sellQuantity1,underlyingValue,optionType,pchange,type,expiry
19000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE19000.00,2559.4615384615386,-73.46153846153847,-2.7901133574851,327,61.98,4091.0,-684.0,4095,5850,4098.2,65,4130.25,65,23002.15,,-14.324607329842932,CE,30-Mar-2026
19000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE19000.00,84493.69230769231,539.5384615384615,0.6426584472844153,71474,48.03,5.85,3.25,253240,206440,5.8,260,5.85,4095,23002.15,,125.0,PE,30-Mar-2026
20000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE20000.00,1347.6153846153845,33.0,2.5102399063779988,144,57.32,3134.45,-633.25,6110,6240,3110.25,130,3138.9,65,23002.15,,-16.807336040555246,CE,30-Mar-2026
20000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE20000.00,75795.30769230769,-1965.923076923077,-2.528153242272202,78356,42.88,16.75,8.05,242190,140270,16.55,650,16.9,195,23002.15,,92.52873563218391,PE,30-Mar-2026
0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,,0.0,CE,30-Mar-2026
20850,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE20850.00,1515.0,1515.0,0.0,3518,35.99,30.25,30.1,55900,780,29.15,130,30.45,715,23002.15,,20066.666666666668,PE,30-Mar-2026
0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,,0.0,CE,30-Mar-2026
20900,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE20900.00,3.0,3.0,0.0,4,32.56,20.05,19.85,67405,0,20.05,22035,0.0,0,23002.15,,9925.0,PE,30-Mar-2026
20950,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE20950.00,3.0,0.0,0.0,0,0.0,2537.65,4.2,5915,4940,1956.65,780,2656.9,780,23002.15,,0.16578183899425683,CE,30-Mar-2026
20950,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE20950.00,5128.0,2088.0,68.6842105263158,13620,35.69,34.9,18.5,39130,5525,32.0,65,34.6,195,23002.15,,112.8048780487805,PE,30-Mar-2026
21000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21000.00,5530.153846153846,-303.7692307692308,-5.20694611094263,1858,41.95,2139.35,-649.3,7085,7085,2139.7,130,2165.45,65,23002.15,,-23.283667724526204,CE,30-Mar-2026
21000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21000.00,53849.307692307695,-830.5384615384615,-1.518911481941033,95939,35.09,35.35,18.9,164970,55120,35.4,1495,36.7,65,23002.15,,114.8936170212766,PE,30-Mar-2026
21050,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21050.00,2.0,1.0,100.0,2,42.95,2101.85,-411.7,3445,3380,1628.45,1755,2383.25,1690,23002.15,,-16.37922460265362,CE,30-Mar-2026
21050,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21050.00,436.0,286.0,190.66666666666666,4706,35.12,38.9,22.1,45500,2990,36.5,65,41.7,1300,23002.15,,131.54761904761904,PE,30-Mar-2026
21100,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21100.00,2.0,0.0,0.0,0,0.0,2422.45,0.0,4420,5915,1804.3,780,2170.75,780,23002.15,,0.0,CE,30-Mar-2026
21100,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21100.00,638.0,317.0,98.75389408099689,5437,34.79,40.8,23.4,49465,4095,35.05,195,41.2,650,23002.15,,134.48275862068965,PE,30-Mar-2026
21150,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21150.00,2.0,1.0,100.0,2,41.81,2005.8,-362.6,3510,5980,1541.65,65,2092.35,780,23002.15,,-15.30991386590103,CE,30-Mar-2026
21150,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21150.00,1450.0,999.0,221.50776053215077,5863,34.28,41.9,24.0,50960,6825,32.0,1560,45.7,1300,23002.15,,134.0782122905028,PE,30-Mar-2026
21200,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21200.00,2.0,0.0,0.0,0,0.0,2296.3,0.3,3380,5915,1624.45,780,2071.55,780,23002.15,,0.013066202090592335,CE,30-Mar-2026
21200,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21200.00,1920.0,1500.0,357.14285714285717,8393,33.96,44.1,25.8,50310,4940,33.8,1300,44.1,195,23002.15,,140.98360655737704,PE,30-Mar-2026
21250,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21250.00,20.0,18.0,900.0,25,40.57,1909.2,-402.0,4745,3445,1652.55,1690,2197.8,65,23002.15,,-17.39356178608515,CE,30-Mar-2026
21250,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21250.00,413.0,362.0,709.8039215686274,2394,33.68,46.6,26.1,40950,3640,32.0,1560,52.85,1300,23002.15,,127.3170731707317,PE,30-Mar-2026
21300,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21300.00,3.0,0.0,0.0,0,0.0,2218.0,3.9,4225,5915,1476.6,780,1973.25,780,23002.15,,0.17614380560950274,CE,30-Mar-2026
21300,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21300.00,1114.0,998.0,860.3448275862069,5390,33.01,47.0,27.2,50700,4160,46.3,260,54.0,65,23002.15,,137.37373737373738,PE,30-Mar-2026
21350,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21350.00,1.0,0.0,0.0,2,38.78,1808.5,-374.7,5135,5980,1472.2,1690,1895.95,780,23002.15,,-17.162880175888603,CE,30-Mar-2026
21350,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21350.00,311.0,229.0,279.2682926829268,2046,32.75,49.9,30.1,47190,1820,35.0,1560,56.0,65,23002.15,,152.02020202020202,PE,30-Mar-2026
21400,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21400.00,2.0,0.0,0.0,2,38.97,1767.0,-365.9,5200,3380,1389.3,65,1982.95,1690,23002.15,,-17.155047118946037,CE,30-Mar-2026
21400,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21400.00,0.0,0.0,0.0,0,0.0,0.0,0.0,98865,0,20.05,57265,0.0,0,23002.15,,0.0,PE,30-Mar-2026
21450,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21450.00,4.0,-1.0,-20.0,2,38.25,1718.2,-381.8,3445,5265,1467.95,65,1758.55,65,23002.15,,-18.18095238095238,CE,30-Mar-2026
21450,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21450.00,778.0,19.0,2.503293807641634,4460,32.05,55.0,32.55,41145,4225,48.05,65,56.8,65,23002.15,,144.98886414253897,PE,30-Mar-2026
21500,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21500.00,929.0,257.0,38.24404761904762,333,35.69,1654.25,-672.05,6045,6695,1662.05,65,1686.0,65,23002.15,,-28.889223230021923,CE,30-Mar-2026
21500,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21500.00,26555.0,4945.0,22.882924571957428,70584,31.81,58.5,35.45,43095,18070,56.65,65,59.0,195,23002.15,,153.79609544468548,PE,30-Mar-2026
21550,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21550.00,6.0,0.0,0.0,2,38.02,1631.6,-577.0,1820,3380,1171.65,65,1853.55,1690,23002.15,,-26.125147152042018,CE,30-Mar-2026
21550,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21550.00,0.0,0.0,0.0,0,0.0,0.0,0.0,163995,0,20.05,128440,0.0,0,23002.15,,0.0,PE,30-Mar-2026
21600,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21600.00,3.0,0.0,0.0,1,47.85,1691.85,71.85,5200,3380,1246.8,65,1717.7,1690,23002.15,,4.435185185185185,CE,30-Mar-2026
21600,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21600.00,0.0,0.0,0.0,0,0.0,0.0,0.0,215930,0,20.05,197860,0.0,0,23002.15,,0.0,PE,30-Mar-2026
21650,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21650.00,7.0,0.0,0.0,2,36.78,1536.65,-539.75,5135,3445,1080.35,1755,1720.5,65,23002.15,,-25.994509728376034,CE,30-Mar-2026
21650,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21650.00,0.0,0.0,0.0,0,0.0,0.0,0.0,218400,0,20.05,180765,0.0,0,23002.15,,0.0,PE,30-Mar-2026
21700,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21700.00,5.0,0.0,0.0,1,50.56,1647.85,-102.15,5135,3380,1194.65,1690,1611.2,1690,23002.15,,-5.837142857142857,CE,30-Mar-2026
21700,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21700.00,0.0,0.0,0.0,0,0.0,0.0,0.0,236925,0,20.05,184210,0.0,0,23002.15,,0.0,PE,30-Mar-2026
21750,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21750.00,7.0,1.0,16.666666666666668,8,35.98,1446.6,-603.4,4680,5200,1137.35,1690,1488.8,65,23002.15,,-29.434146341463414,CE,30-Mar-2026
21750,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21750.00,3212.0,-413.0,-11.393103448275863,10879,30.08,75.4,46.55,26130,5070,75.15,325,81.3,65,23002.15,,161.3518197573657,PE,30-Mar-2026
21800,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21800.00,5.0,4.0,400.0,15,33.36,1380.0,-656.0,6110,5395,1380.2,780,1426.1,130,23002.15,,-32.220039292730846,CE,30-Mar-2026
21800,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21800.00,2942.0,2935.0,41928.57142857143,16915,29.79,79.95,59.5,31070,5590,79.45,260,82.75,65,23002.15,,290.9535452322738,PE,30-Mar-2026
21850,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21850.00,5.0,0.0,0.0,1,22.65,1251.35,-580.45,4225,3380,1115.65,780,1447.7,1690,23002.15,,-31.68741128944208,CE,30-Mar-2026
21850,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21850.00,0.0,0.0,0.0,0,0.0,0.0,0.0,394420,0,20.45,140855,0.0,0,23002.15,,0.0,PE,30-Mar-2026
21900,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21900.00,6.0,-4.0,-40.0,14,29.46,1260.15,-485.25,5395,5265,1291.4,65,1326.75,130,23002.15,,-27.80165005156411,CE,30-Mar-2026
21900,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21900.00,2639.0,1341.0,103.31278890600925,15437,29.6,93.35,60.6,26130,8060,89.65,195,93.3,1235,23002.15,,185.0381679389313,PE,30-Mar-2026
21950,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE21950.00,7.0,1.0,16.666666666666668,4,34.18,1267.3,-528.65,5200,5200,1028.55,65,1337.15,65,23002.15,,-29.435674712547677,CE,30-Mar-2026
21950,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE21950.00,1730.0,135.0,8.463949843260188,5453,29.15,97.3,62.3,20800,6110,94.6,65,99.95,65,23002.15,,178.0,PE,30-Mar-2026
22000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22000.00,10677.23076923077,1569.5384615384614,17.23310810810811,4705,32.91,1214.0,-600.2,6955,7930,1214.8,65,1228.6,65,23002.15,,-33.08345276154779,CE,30-Mar-2026
22000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22000.00,79400.30769230769,13336.923076923076,20.18807112982404,168025,28.54,100.0,63.8,72670,89570,100.05,260,102.1,3900,23002.15,,176.24309392265192,PE,30-Mar-2026
22050,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22050.00,10.0,3.0,42.857142857142854,16,32.33,1168.3,-560.2,5200,5460,910.4,65,1203.75,65,23002.15,,-32.40960370263234,CE,30-Mar-2026
22050,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22050.00,1362.0,390.0,40.123456790123456,5491,28.15,105.0,66.65,22100,6110,105.75,65,112.55,650,23002.15,,173.79400260756194,PE,30-Mar-2026
22100,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22100.00,9.0,-1.0,-10.0,6,32.46,1131.2,-497.75,5460,3770,1122.75,65,1156.2,65,23002.15,,-30.556493446698795,CE,30-Mar-2026
22100,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22100.00,2259.0,1595.0,240.210843373494,12747,28.1,113.95,73.6,20345,6890,113.0,65,116.0,65,23002.15,,182.40396530359357,PE,30-Mar-2026
22150,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22150.00,21.0,7.0,50.0,14,31.48,1081.45,-528.45,3705,5330,834.05,325,1116.8,65,23002.15,,-32.82502018758929,CE,30-Mar-2026
22150,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22150.00,1416.0,250.0,21.44082332761578,5500,27.88,121.6,78.65,16445,6760,120.05,65,125.35,65,23002.15,,183.1199068684517,PE,30-Mar-2026
22200,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22200.00,38.0,19.0,100.0,41,30.09,1027.0,-597.8,5785,3640,1039.1,130,1114.05,130,23002.15,,-36.79222058099458,CE,30-Mar-2026
22200,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22200.00,4066.0,1770.0,77.09059233449477,35926,27.56,128.6,83.95,18395,8125,129.15,260,130.05,65,23002.15,,188.0179171332587,PE,30-Mar-2026
22250,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22250.00,15.0,0.0,0.0,0,0.0,1600.0,0.0,0,3380,0.0,0,1128.8,1690,23002.15,,0.0,CE,30-Mar-2026
22250,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22250.00,0.0,0.0,0.0,0,0.0,0.0,0.0,400010,0,51.9,30225,0.0,0,23002.15,,0.0,PE,30-Mar-2026
22300,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22300.00,48.0,30.0,166.66666666666666,89,30.89,962.6,-587.4,5720,5525,951.1,65,980.0,130,23002.15,,-37.89677419354839,CE,30-Mar-2026
22300,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22300.00,6037.0,619.0,11.424880029531192,34681,27.27,148.25,99.75,16835,8645,145.0,65,147.75,975,23002.15,,205.6701030927835,PE,30-Mar-2026
22350,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22350.00,12.0,-2.0,-14.285714285714286,49,22.18,819.6,-377.1,5980,5265,879.6,780,968.2,65,23002.15,,-31.511657056906493,CE,30-Mar-2026
22350,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22350.00,2538.0,1500.0,144.50867052023122,9071,27.02,157.6,105.2,16900,9750,153.85,65,157.95,260,23002.15,,200.76335877862596,PE,30-Mar-2026
22400,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22400.00,131.0,86.0,191.11111111111111,200,29.19,868.7,-605.6,6890,7605,872.7,130,906.3,65,23002.15,,-41.07712134572339,CE,30-Mar-2026
22400,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22400.00,6790.0,1794.0,35.90872698158527,27523,26.25,160.9,106.4,17810,12545,160.7,260,166.25,975,23002.15,,195.22935779816513,PE,30-Mar-2026
22450,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22450.00,47.0,26.0,123.80952380952381,46,28.99,830.85,-507.7,3835,6175,589.2,65,886.5,65,23002.15,,-37.92910238691121,CE,30-Mar-2026
22450,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22450.00,1959.0,1957.0,97850.0,9866,26.06,172.15,142.85,32565,12025,170.5,65,177.25,260,23002.15,,487.54266211604096,PE,30-Mar-2026
22500,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22500.00,4659.0,192.0,4.298186702484889,5693,29.32,801.05,-551.0,7800,8710,800.95,65,810.0,130,23002.15,,-40.7529307348101,CE,30-Mar-2026
22500,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22500.00,37023.0,2552.0,7.40332453366598,137501,25.59,180.2,119.15,42055,45890,180.2,195,185.8,975,23002.15,,195.16789516789518,PE,30-Mar-2026
22550,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22550.00,78.0,45.0,136.36363636363637,212,29.2,765.8,-592.45,5850,6565,743.95,65,794.25,65,23002.15,,-43.61862690962636,CE,30-Mar-2026
22550,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22550.00,1883.0,1159.0,160.08287292817678,12223,25.54,194.55,130.2,17745,10855,189.8,65,198.5,260,23002.15,,202.33100233100234,PE,30-Mar-2026
22600,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22600.00,312.0,186.0,147.61904761904762,924,29.28,734.35,-552.9,4160,8905,717.4,195,743.15,65,23002.15,,-42.952029520295206,CE,30-Mar-2026
22600,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22600.00,6556.0,1666.0,34.06952965235174,35433,25.08,204.05,137.0,23270,15730,204.05,65,208.05,975,23002.15,,204.32513049962714,PE,30-Mar-2026
22650,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22650.00,139.0,74.0,113.84615384615384,238,28.41,689.55,-502.3,3705,7215,648.15,780,721.45,65,23002.15,,-42.144565171791754,CE,30-Mar-2026
22650,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22650.00,1414.0,645.0,83.87516254876464,9774,25.19,222.2,150.15,13130,10595,214.05,65,221.25,260,23002.15,,208.3969465648855,PE,30-Mar-2026
22700,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22700.00,557.0,239.0,75.15723270440252,1439,27.84,649.7,-505.8,4160,7735,645.0,130,671.25,65,23002.15,,-43.77325832972739,CE,30-Mar-2026
22700,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22700.00,6513.0,-116.0,-1.7498868607633127,39906,24.3,226.8,150.75,19760,14690,227.65,65,230.0,130,23002.15,,198.22485207100593,PE,30-Mar-2026
22750,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22750.00,806.0,48.0,6.332453825857519,566,27.51,614.05,-569.85,3445,7475,595.9,65,633.55,65,23002.15,,-48.133288284483484,CE,30-Mar-2026
22750,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22750.00,1901.0,-645.0,-25.333857030636292,13053,24.22,244.0,162.7,12285,7930,240.2,65,248.15,65,23002.15,,200.1230012300123,PE,30-Mar-2026
22800,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22800.00,1764.0,793.0,81.66838311019568,5611,27.2,579.6,-502.7,6955,7020,576.75,65,594.25,130,23002.15,,-46.447380578397855,CE,30-Mar-2026
22800,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22800.00,14255.0,-7921.0,-35.718795093795094,86844,23.81,257.0,171.4,26520,27040,255.05,65,262.0,130,23002.15,,200.2336448598131,PE,30-Mar-2026
22850,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22850.00,353.0,166.0,88.77005347593582,1636,27.13,549.5,-505.9,3185,4810,527.0,65,564.65,65,23002.15,,-47.934432442675764,CE,30-Mar-2026
22850,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22850.00,2082.0,-371.0,-15.12433754586221,14685,23.6,274.0,181.5,15600,11180,267.8,65,277.15,260,23002.15,,196.21621621621622,PE,30-Mar-2026
22900,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22900.00,1707.0,1103.0,182.6158940397351,6284,26.84,517.0,-472.0,4615,7930,510.3,65,524.8,65,23002.15,,-47.72497472194136,CE,30-Mar-2026
22900,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22900.00,8044.0,-4591.0,-36.335575781559164,55883,23.39,291.95,195.7,16900,17290,288.05,130,291.95,130,23002.15,,203.32467532467533,PE,30-Mar-2026
22950,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE22950.00,1176.0,649.0,123.14990512333966,5003,26.35,481.95,-442.65,7215,7410,475.3,65,497.6,65,23002.15,,-47.87475665152498,CE,30-Mar-2026
22950,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE22950.00,3165.0,987.0,45.3168044077135,16515,23.12,309.9,206.0,7215,10595,303.5,65,308.8,65,23002.15,,198.26756496631376,PE,30-Mar-2026
23000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE23000.00,30576.846153846152,7823.692307692308,34.38508947195824,77659,26.33,455.35,-425.0,47840,41015,448.9,195,455.4,130,23002.15,,-48.276253762708016,CE,30-Mar-2026
23000,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE23000.00,60064.07692307692,-22084.30769230769,-26.88343513473274,242948,22.57,324.45,215.25,74360,93340,324.45,65,325.1,195,23002.15,,197.1153846153846,PE,30-Mar-2026
23050,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE23050.00,1362.0,797.0,141.06194690265488,6599,25.4,415.25,-402.7,13650,11115,415.55,195,427.85,130,23002.15,,-49.232838193043584,CE,30-Mar-2026
23050,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE23050.00,2898.0,446.0,18.189233278955953,19735,22.48,347.25,229.1,7280,13065,340.0,65,344.45,195,23002.15,,193.9060516292848,PE,30-Mar-2026
23100,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE23100.00,7236.0,4511.0,165.54128440366972,38190,25.26,388.65,-418.55,25090,21385,388.65,65,391.8,520,23002.15,,-51.85208126858276,CE,30-Mar-2026
23100,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE23100.00,9955.0,-1651.0,-14.225400654833706,72227,21.42,355.7,232.35,20995,18720,358.65,65,363.05,195,23002.15,,188.3664369679773,PE,30-Mar-2026
23150,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE23150.00,2137.0,1262.0,144.22857142857143,12961,24.97,360.6,-393.35,13195,12935,360.6,195,366.65,65,23002.15,,-52.17189468797665,CE,30-Mar-2026
23150,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE23150.00,2728.0,-1649.0,-37.67420607722184,25078,20.99,375.45,241.7,8840,14625,376.4,325,386.7,195,23002.15,,180.71028037383178,PE,30-Mar-2026
23200,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE23200.00,17605.0,10756.0,157.04482406190684,99244,24.99,338.45,-386.7,27560,49075,335.9,1430,338.0,975,23002.15,,-53.32689788319658,CE,30-Mar-2026
23200,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026PE23200.00,20404.0,157.0,0.7754235195337581,129778,21.0,403.35,264.05,14495,20800,403.25,325,407.1,195,23002.15,,189.5549174443647,PE,30-Mar-2026
23250,30-03-2026,NIFTY,OPTIDXNIFTY30-03-2026CE23250.00,4913.0,2414.0,96.59863945578232,30036,24.34,306.65,-365.1,42510,16705,307.9,65,310.0,65,23002.15,,-54.350576851507256,CE,30-Mar-2026
